utime (s),X (G),Y (G),Z (G)
1713036730.2655134,0.091796875,0.3369140625,0.8154296875
1713036730.2797318,0.0556640625,0.236328125,1.1416015625
1713036730.2939515,0.0595703125,0.337890625,1.2734375
1713036730.3081706,0.041015625,0.3876953125,1.4306640625
1713036730.3224146,0.0458984375,0.345703125,1.53125
1713036730.3366358,-0.2255859375,0.6171875,1.12890625
1713036730.3508599,-0.5263671875,0.83203125,0.7744140625
1713036730.3650808,-0.6767578125,0.6064453125,1.07421875
1713036730.379299,-0.55859375,0.0244140625,1.44921875
1713036730.3935022,0.0615234375,-0.7998046875,1.6240234375
1713036730.4077156,0.306640625,-1.697265625,1.005859375
1713036730.4219568,0.3076171875,-1.3623046875,0.580078125
1713036730.4361715,0.3173828125,-1.2138671875,0.9697265625
1713036730.4503868,0.2021484375,-0.9111328125,0.91796875
1713036730.464603,0.1689453125,-0.873046875,0.615234375
1713036730.4788177,0.2333984375,-1.046875,0.435546875
1713036730.4930363,0.3203125,-0.982421875,0.318359375
1713036730.5072505,0.3388671875,-1.0458984375,0.3759765625
1713036730.521489,0.3037109375,-1.13671875,0.3642578125
1713036730.5357056,0.2939453125,-1.0595703125,0.4384765625
1713036730.5499222,0.173828125,-0.8466796875,0.4619140625
1713036730.5641384,-0.001953125,-0.6689453125,0.6650390625
1713036730.5783546,-0.07421875,-0.3876953125,0.80078125
1713036730.5925715,-0.140625,-0.1298828125,0.78515625
1713036730.6067855,-0.2109375,0.12109375,0.90625
1713036730.6210294,-0.11328125,0.0478515625,0.9677734375
1713036730.635246,-0.0576171875,0.0068359375,0.984375
1713036730.6494591,0.0234375,-0.0615234375,1.1533203125
1713036730.6636755,-0.205078125,0.2314453125,1.326171875
1713036730.67789,-0.140625,0.54296875,1.4873046875
1713036730.6921022,-0.0322265625,0.3212890625,1.236328125
1713036730.7063158,0.0224609375,0.369140625,1.2216796875
1713036730.7205534,0.005859375,0.466796875,1.314453125
1713036730.7347732,-0.068359375,0.5244140625,1.1298828125
1713036730.748992,-0.1572265625,0.6865234375,1.1142578125
1713036730.763209,-0.181640625,0.7333984375,1.1630859375
1713036730.7774243,-0.2509765625,0.6240234375,1.125
1713036730.7917182,-0.2734375,0.7138671875,1.0703125
1713036730.8059266,-0.189453125,0.2041015625,1.087890625
1713036730.8201144,-0.1064453125,0.314453125,0.998046875
1713036730.8343396,-0.2607421875,0.37890625,0.9873046875
1713036730.8485582,-0.2724609375,0.1171875,0.9052734375
1713036730.8627794,-0.1796875,-0.251953125,0.8486328125
1713036730.8769965,-0.0927734375,-0.541015625,1.0908203125
1713036730.891213,0.06640625,-0.890625,1.2724609375
1713036730.9054313,0.146484375,-1.25,0.8583984375
1713036730.919649,0.150390625,-1.4921875,0.455078125
1713036730.933897,0.134765625,-1.2724609375,0.650390625
1713036730.9481153,0.1962890625,-1.0458984375,0.501953125
1713036730.9623322,0.234375,-1.009765625,0.34765625
1713036730.976549,0.177734375,-0.8330078125,0.423828125
1713036730.9907978,0.21875,-0.7900390625,0.3984375
1713036731.0050125,0.28515625,-1.015625,0.2841796875
1713036731.0192244,0.3056640625,-1.1025390625,0.3818359375
1713036731.0334666,0.3447265625,-1.267578125,0.4404296875
1713036731.0476844,0.14453125,-1.046875,0.7294921875
1713036731.0619004,0.240234375,-0.9482421875,1.0107421875
1713036731.076118,-0.083984375,-0.669921875,1.0693359375
1713036731.0903347,-0.4931640625,0.0595703125,0.9638671875
1713036731.1045494,-0.6123046875,0.8662109375,1.2490234375
1713036731.1187665,-0.759765625,1.2763671875,1.201171875
